ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAEDAAECAQAAAAAAAECPQA==
ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	jp.rafaelzig.rafka.pubsub.Publisher	publisher	1609142004263	 	3.2.1
USER	register	1	START	1609142006731	1609142006731
REQUEST	1		/topic/register	1609142006778	1609142006874	OK	 
REQUEST	1		/topic/register	1609142006949	1609142006959	OK	 
REQUEST	1		/topic/register	1609142006959	1609142006974	OK	 
REQUEST	1		/topic/register	1609142006974	1609142006989	OK	 
REQUEST	1		/topic/register	1609142006990	1609142007005	OK	 
REQUEST	1		/topic/register	1609142007005	1609142007016	OK	 
USER	register	1	END	1609142006731	1609142007023
USER	publish	2	START	1609142011690	1609142011690
REQUEST	2		/message/publish	1609142011702	1609142011746	OK	 
USER	publish	2	END	1609142011690	1609142011747
USER	publish	3	START	1609142012203	1609142012203
REQUEST	3		/message/publish	1609142012205	1609142012226	OK	 
USER	publish	3	END	1609142012203	1609142012229
USER	publish	4	START	1609142012701	1609142012701
REQUEST	4		/message/publish	1609142012703	1609142012721	OK	 
USER	publish	4	END	1609142012701	1609142012723
USER	publish	5	START	1609142012862	1609142012862
REQUEST	5		/message/publish	1609142012864	1609142012881	OK	 
USER	publish	5	END	1609142012862	1609142012883
USER	publish	6	START	1609142013031	1609142013031
REQUEST	6		/message/publish	1609142013033	1609142013052	OK	 
USER	publish	6	END	1609142013031	1609142013054
USER	publish	7	START	1609142013202	1609142013202
REQUEST	7		/message/publish	1609142013204	1609142013222	OK	 
USER	publish	7	END	1609142013202	1609142013223
USER	publish	8	START	1609142013362	1609142013362
REQUEST	8		/message/publish	1609142013363	1609142013382	OK	 
USER	publish	8	END	1609142013362	1609142013384
USER	publish	9	START	1609142013531	1609142013531
REQUEST	9		/message/publish	1609142013533	1609142013551	OK	 
USER	publish	9	END	1609142013531	1609142013552
USER	publish	10	START	1609142013701	1609142013701
REQUEST	10		/message/publish	1609142013703	1609142013721	OK	 
USER	publish	10	END	1609142013701	1609142013723
USER	publish	11	START	1609142013812	1609142013812
REQUEST	11		/message/publish	1609142013814	1609142013833	OK	 
USER	publish	11	END	1609142013812	1609142013835
USER	publish	12	START	1609142013921	1609142013921
REQUEST	12		/message/publish	1609142013923	1609142013942	OK	 
USER	publish	12	END	1609142013921	1609142013944
USER	publish	13	START	1609142014031	1609142014031
REQUEST	13		/message/publish	1609142014032	1609142014052	OK	 
USER	publish	13	END	1609142014031	1609142014054
USER	publish	14	START	1609142014142	1609142014142
REQUEST	14		/message/publish	1609142014143	1609142014160	OK	 
USER	publish	14	END	1609142014142	1609142014161
USER	publish	15	START	1609142014251	1609142014251
REQUEST	15		/message/publish	1609142014253	1609142014270	OK	 
USER	publish	15	END	1609142014251	1609142014272
USER	publish	16	START	1609142014361	1609142014361
REQUEST	16		/message/publish	1609142014364	1609142014380	OK	 
USER	publish	16	END	1609142014361	1609142014382
USER	publish	17	START	1609142014481	1609142014481
REQUEST	17		/message/publish	1609142014484	1609142014500	OK	 
USER	publish	17	END	1609142014481	1609142014502
USER	publish	18	START	1609142014592	1609142014592
REQUEST	18		/message/publish	1609142014594	1609142014613	OK	 
USER	publish	18	END	1609142014592	1609142014615
USER	publish	19	START	1609142014701	1609142014701
REQUEST	19		/message/publish	1609142014703	1609142014715	OK	 
USER	publish	19	END	1609142014701	1609142014716
USER	publish	20	START	1609142014772	1609142014772
REQUEST	20		/message/publish	1609142014775	1609142014791	OK	 
USER	publish	20	END	1609142014772	1609142014792
USER	publish	21	START	1609142014852	1609142014852
REQUEST	21		/message/publish	1609142014855	1609142014871	OK	 
USER	publish	21	END	1609142014852	1609142014872
USER	publish	22	START	1609142014931	1609142014931
REQUEST	22		/message/publish	1609142014934	1609142014948	OK	 
USER	publish	22	END	1609142014931	1609142014949
USER	publish	23	START	1609142015012	1609142015012
REQUEST	23		/message/publish	1609142015016	1609142015028	OK	 
USER	publish	23	END	1609142015012	1609142015030
USER	publish	24	START	1609142015081	1609142015081
REQUEST	24		/message/publish	1609142015083	1609142015099	OK	 
USER	publish	24	END	1609142015081	1609142015100
USER	publish	25	START	1609142015161	1609142015161
REQUEST	25		/message/publish	1609142015162	1609142015176	OK	 
USER	publish	25	END	1609142015161	1609142015177
USER	publish	26	START	1609142015242	1609142015242
REQUEST	26		/message/publish	1609142015243	1609142015257	OK	 
USER	publish	26	END	1609142015242	1609142015258
USER	publish	27	START	1609142015311	1609142015311
REQUEST	27		/message/publish	1609142015313	1609142015329	OK	 
USER	publish	27	END	1609142015311	1609142015330
USER	publish	28	START	1609142015391	1609142015391
REQUEST	28		/message/publish	1609142015393	1609142015405	OK	 
USER	publish	28	END	1609142015391	1609142015406
USER	publish	29	START	1609142015472	1609142015472
REQUEST	29		/message/publish	1609142015473	1609142015489	OK	 
USER	publish	29	END	1609142015472	1609142015490
USER	publish	30	START	1609142015542	1609142015542
REQUEST	30		/message/publish	1609142015543	1609142015559	OK	 
USER	publish	30	END	1609142015542	1609142015561
USER	publish	31	START	1609142015620	1609142015620
REQUEST	31		/message/publish	1609142015622	1609142015635	OK	 
USER	publish	31	END	1609142015620	1609142015636
USER	publish	32	START	1609142015701	1609142015701
REQUEST	32		/message/publish	1609142015702	1609142015716	OK	 
USER	publish	32	END	1609142015701	1609142015716
USER	publish	33	START	1609142015761	1609142015761
REQUEST	33		/message/publish	1609142015763	1609142015775	OK	 
USER	publish	33	END	1609142015761	1609142015776
USER	publish	34	START	1609142015821	1609142015821
REQUEST	34		/message/publish	1609142015823	1609142015834	OK	 
USER	publish	34	END	1609142015821	1609142015835
USER	publish	35	START	1609142015891	1609142015891
REQUEST	35		/message/publish	1609142015892	1609142015903	OK	 
USER	publish	35	END	1609142015891	1609142015904
USER	publish	36	START	1609142015952	1609142015952
REQUEST	36		/message/publish	1609142015954	1609142015968	OK	 
USER	publish	36	END	1609142015952	1609142015969
USER	publish	37	START	1609142016012	1609142016012
REQUEST	37		/message/publish	1609142016014	1609142016030	OK	 
USER	publish	37	END	1609142016012	1609142016031
USER	publish	38	START	1609142016073	1609142016073
REQUEST	38		/message/publish	1609142016074	1609142016087	OK	 
USER	publish	38	END	1609142016073	1609142016088
USER	publish	39	START	1609142016142	1609142016142
REQUEST	39		/message/publish	1609142016143	1609142016155	OK	 
USER	publish	39	END	1609142016142	1609142016156
USER	publish	40	START	1609142016201	1609142016201
REQUEST	40		/message/publish	1609142016203	1609142016215	OK	 
USER	publish	40	END	1609142016201	1609142016216
USER	publish	41	START	1609142016262	1609142016262
REQUEST	41		/message/publish	1609142016263	1609142016275	OK	 
USER	publish	41	END	1609142016262	1609142016276
USER	publish	42	START	1609142016322	1609142016322
REQUEST	42		/message/publish	1609142016323	1609142016336	OK	 
USER	publish	42	END	1609142016322	1609142016337
USER	publish	43	START	1609142016391	1609142016391
REQUEST	43		/message/publish	1609142016392	1609142016409	OK	 
USER	publish	43	END	1609142016391	1609142016410
USER	publish	44	START	1609142016452	1609142016452
REQUEST	44		/message/publish	1609142016453	1609142016467	OK	 
USER	publish	44	END	1609142016452	1609142016468
USER	publish	45	START	1609142016512	1609142016512
REQUEST	45		/message/publish	1609142016514	1609142016526	OK	 
USER	publish	45	END	1609142016512	1609142016527
USER	publish	46	START	1609142016571	1609142016571
REQUEST	46		/message/publish	1609142016572	1609142016582	OK	 
USER	publish	46	END	1609142016571	1609142016583
USER	publish	47	START	1609142016641	1609142016641
REQUEST	47		/message/publish	1609142016642	1609142016659	OK	 
USER	publish	47	END	1609142016641	1609142016659
USER	publish	48	START	1609142016700	1609142016700
REQUEST	48		/message/publish	1609142016702	1609142016714	OK	 
USER	publish	48	END	1609142016700	1609142016714
USER	publish	49	START	1609142016752	1609142016752
REQUEST	49		/message/publish	1609142016754	1609142016766	OK	 
USER	publish	49	END	1609142016752	1609142016767
USER	publish	50	START	1609142016802	1609142016802
REQUEST	50		/message/publish	1609142016804	1609142016816	OK	 
USER	publish	50	END	1609142016802	1609142016816
USER	publish	51	START	1609142016862	1609142016862
REQUEST	51		/message/publish	1609142016864	1609142016878	OK	 
USER	publish	51	END	1609142016862	1609142016879
USER	publish	52	START	1609142016912	1609142016912
REQUEST	52		/message/publish	1609142016914	1609142016924	OK	 
USER	publish	52	END	1609142016912	1609142016925
USER	publish	53	START	1609142016961	1609142016961
REQUEST	53		/message/publish	1609142016962	1609142016975	OK	 
USER	publish	53	END	1609142016961	1609142016976
USER	publish	54	START	1609142017011	1609142017011
REQUEST	54		/message/publish	1609142017013	1609142017028	OK	 
USER	publish	54	END	1609142017011	1609142017028
USER	publish	55	START	1609142017071	1609142017071
REQUEST	55		/message/publish	1609142017072	1609142017084	OK	 
USER	publish	55	END	1609142017071	1609142017085
USER	publish	56	START	1609142017121	1609142017121
REQUEST	56		/message/publish	1609142017123	1609142017132	OK	 
USER	publish	56	END	1609142017121	1609142017133
USER	publish	57	START	1609142017172	1609142017172
REQUEST	57		/message/publish	1609142017173	1609142017183	OK	 
USER	publish	57	END	1609142017172	1609142017183
USER	publish	58	START	1609142017223	1609142017223
REQUEST	58		/message/publish	1609142017224	1609142017235	OK	 
USER	publish	58	END	1609142017223	1609142017235
USER	publish	59	START	1609142017281	1609142017281
REQUEST	59		/message/publish	1609142017283	1609142017294	OK	 
USER	publish	59	END	1609142017281	1609142017295
USER	publish	60	START	1609142017331	1609142017331
REQUEST	60		/message/publish	1609142017332	1609142017345	OK	 
USER	publish	60	END	1609142017331	1609142017346
USER	publish	61	START	1609142017381	1609142017381
REQUEST	61		/message/publish	1609142017383	1609142017397	OK	 
USER	publish	61	END	1609142017381	1609142017397
USER	publish	62	START	1609142017432	1609142017432
REQUEST	62		/message/publish	1609142017433	1609142017445	OK	 
USER	publish	62	END	1609142017432	1609142017446
USER	publish	63	START	1609142017490	1609142017490
REQUEST	63		/message/publish	1609142017492	1609142017502	OK	 
USER	publish	63	END	1609142017490	1609142017503
USER	publish	64	START	1609142017540	1609142017540
REQUEST	64		/message/publish	1609142017541	1609142017553	OK	 
USER	publish	64	END	1609142017540	1609142017553
USER	publish	65	START	1609142017591	1609142017591
REQUEST	65		/message/publish	1609142017592	1609142017605	OK	 
USER	publish	65	END	1609142017591	1609142017605
USER	publish	66	START	1609142017650	1609142017650
REQUEST	66		/message/publish	1609142017651	1609142017669	OK	 
USER	publish	66	END	1609142017650	1609142017670
USER	publish	67	START	1609142017702	1609142017702
REQUEST	67		/message/publish	1609142017704	1609142017718	OK	 
USER	publish	67	END	1609142017702	1609142017718
USER	publish	68	START	1609142017741	1609142017741
REQUEST	68		/message/publish	1609142017742	1609142017750	OK	 
USER	publish	68	END	1609142017741	1609142017751
USER	publish	69	START	1609142017781	1609142017781
REQUEST	69		/message/publish	1609142017782	1609142017794	OK	 
USER	publish	69	END	1609142017781	1609142017795
USER	publish	70	START	1609142017831	1609142017831
REQUEST	70		/message/publish	1609142017832	1609142017839	OK	 
USER	publish	70	END	1609142017831	1609142017840
USER	publish	71	START	1609142017871	1609142017871
REQUEST	71		/message/publish	1609142017873	1609142017883	OK	 
USER	publish	71	END	1609142017871	1609142017884
USER	publish	72	START	1609142017921	1609142017921
REQUEST	72		/message/publish	1609142017923	1609142017934	OK	 
USER	publish	72	END	1609142017921	1609142017935
USER	publish	73	START	1609142017961	1609142017961
REQUEST	73		/message/publish	1609142017962	1609142017972	OK	 
USER	publish	73	END	1609142017961	1609142017973
USER	publish	74	START	1609142018000	1609142018000
REQUEST	74		/message/publish	1609142018002	1609142018013	OK	 
USER	publish	74	END	1609142018000	1609142018013
USER	publish	75	START	1609142018051	1609142018051
REQUEST	75		/message/publish	1609142018053	1609142018063	OK	 
USER	publish	75	END	1609142018051	1609142018063
USER	publish	76	START	1609142018092	1609142018092
REQUEST	76		/message/publish	1609142018093	1609142018102	OK	 
USER	publish	76	END	1609142018092	1609142018102
USER	publish	77	START	1609142018132	1609142018132
REQUEST	77		/message/publish	1609142018133	1609142018147	OK	 
USER	publish	77	END	1609142018132	1609142018147
USER	publish	78	START	1609142018181	1609142018181
REQUEST	78		/message/publish	1609142018182	1609142018193	OK	 
USER	publish	78	END	1609142018181	1609142018194
USER	publish	79	START	1609142018222	1609142018222
REQUEST	79		/message/publish	1609142018223	1609142018232	OK	 
USER	publish	79	END	1609142018222	1609142018233
USER	publish	80	START	1609142018261	1609142018261
REQUEST	80		/message/publish	1609142018262	1609142018269	OK	 
USER	publish	80	END	1609142018261	1609142018270
USER	publish	81	START	1609142018310	1609142018310
REQUEST	81		/message/publish	1609142018312	1609142018337	OK	 
USER	publish	81	END	1609142018310	1609142018337
USER	publish	82	START	1609142018352	1609142018352
REQUEST	82		/message/publish	1609142018353	1609142018364	OK	 
USER	publish	82	END	1609142018352	1609142018365
USER	publish	83	START	1609142018393	1609142018393
REQUEST	83		/message/publish	1609142018394	1609142018407	OK	 
USER	publish	83	END	1609142018393	1609142018408
USER	publish	84	START	1609142018442	1609142018442
REQUEST	84		/message/publish	1609142018443	1609142018455	OK	 
USER	publish	84	END	1609142018442	1609142018456
USER	publish	85	START	1609142018482	1609142018482
REQUEST	85		/message/publish	1609142018483	1609142018499	OK	 
USER	publish	85	END	1609142018482	1609142018500
USER	publish	86	START	1609142018522	1609142018522
REQUEST	86		/message/publish	1609142018523	1609142018534	OK	 
USER	publish	86	END	1609142018522	1609142018534
USER	publish	87	START	1609142018572	1609142018572
REQUEST	87		/message/publish	1609142018573	1609142018587	OK	 
USER	publish	87	END	1609142018572	1609142018587
USER	publish	88	START	1609142018612	1609142018612
REQUEST	88		/message/publish	1609142018613	1609142018621	OK	 
USER	publish	88	END	1609142018612	1609142018622
USER	publish	89	START	1609142018650	1609142018650
REQUEST	89		/message/publish	1609142018651	1609142018660	OK	 
USER	publish	89	END	1609142018650	1609142018661
USER	publish	90	START	1609142018701	1609142018701
REQUEST	90		/message/publish	1609142018703	1609142018714	OK	 
USER	publish	90	END	1609142018701	1609142018715
USER	publish	91	START	1609142018742	1609142018742
REQUEST	91		/message/publish	1609142018744	1609142018762	OK	 
USER	publish	91	END	1609142018742	1609142018762
USER	publish	92	START	1609142018771	1609142018771
REQUEST	92		/message/publish	1609142018771	1609142018785	OK	 
USER	publish	92	END	1609142018771	1609142018785
USER	publish	93	START	1609142018811	1609142018811
REQUEST	93		/message/publish	1609142018813	1609142018830	OK	 
USER	publish	93	END	1609142018811	1609142018830
USER	publish	94	START	1609142018850	1609142018850
REQUEST	94		/message/publish	1609142018851	1609142018861	OK	 
USER	publish	94	END	1609142018850	1609142018862
USER	publish	95	START	1609142018890	1609142018890
REQUEST	95		/message/publish	1609142018891	1609142018906	OK	 
USER	publish	95	END	1609142018890	1609142018906
USER	publish	96	START	1609142018930	1609142018930
REQUEST	96		/message/publish	1609142018931	1609142018937	OK	 
USER	publish	96	END	1609142018930	1609142018938
USER	publish	97	START	1609142018970	1609142018970
REQUEST	97		/message/publish	1609142018971	1609142018981	OK	 
USER	publish	97	END	1609142018970	1609142018981
USER	publish	98	START	1609142019001	1609142019001
REQUEST	98		/message/publish	1609142019002	1609142019009	OK	 
USER	publish	98	END	1609142019001	1609142019010
USER	publish	99	START	1609142019041	1609142019041
REQUEST	99		/message/publish	1609142019042	1609142019053	OK	 
USER	publish	99	END	1609142019041	1609142019054
USER	publish	100	START	1609142019080	1609142019080
REQUEST	100		/message/publish	1609142019082	1609142019090	OK	 
USER	publish	100	END	1609142019080	1609142019091
USER	publish	101	START	1609142019121	1609142019121
REQUEST	101		/message/publish	1609142019122	1609142019133	OK	 
USER	publish	101	END	1609142019121	1609142019133
USER	publish	102	START	1609142019160	1609142019160
REQUEST	102		/message/publish	1609142019161	1609142019168	OK	 
USER	publish	102	END	1609142019160	1609142019169
USER	publish	103	START	1609142019201	1609142019201
REQUEST	103		/message/publish	1609142019202	1609142019226	OK	 
USER	publish	103	END	1609142019201	1609142019226
USER	publish	104	START	1609142019242	1609142019242
REQUEST	104		/message/publish	1609142019243	1609142019256	OK	 
USER	publish	104	END	1609142019242	1609142019257
USER	publish	105	START	1609142019271	1609142019271
REQUEST	105		/message/publish	1609142019273	1609142019282	OK	 
USER	publish	105	END	1609142019271	1609142019282
USER	publish	106	START	1609142019312	1609142019312
REQUEST	106		/message/publish	1609142019316	1609142019328	OK	 
USER	publish	106	END	1609142019312	1609142019329
USER	publish	107	START	1609142019351	1609142019351
REQUEST	107		/message/publish	1609142019352	1609142019362	OK	 
USER	publish	107	END	1609142019351	1609142019363
USER	publish	108	START	1609142019391	1609142019391
REQUEST	108		/message/publish	1609142019391	1609142019400	OK	 
USER	publish	108	END	1609142019391	1609142019400
USER	publish	109	START	1609142019430	1609142019430
REQUEST	109		/message/publish	1609142019431	1609142019440	OK	 
USER	publish	109	END	1609142019430	1609142019441
USER	publish	110	START	1609142019471	1609142019471
REQUEST	110		/message/publish	1609142019471	1609142019480	OK	 
USER	publish	110	END	1609142019471	1609142019481
USER	publish	111	START	1609142019500	1609142019500
REQUEST	111		/message/publish	1609142019501	1609142019509	OK	 
USER	publish	111	END	1609142019500	1609142019509
USER	publish	112	START	1609142019540	1609142019540
REQUEST	112		/message/publish	1609142019541	1609142019570	OK	 
USER	publish	112	END	1609142019540	1609142019571
USER	publish	113	START	1609142019580	1609142019580
REQUEST	113		/message/publish	1609142019581	1609142019590	OK	 
USER	publish	113	END	1609142019580	1609142019590
USER	publish	114	START	1609142019620	1609142019620
REQUEST	114		/message/publish	1609142019621	1609142019627	OK	 
USER	publish	114	END	1609142019620	1609142019628
USER	publish	115	START	1609142019661	1609142019661
REQUEST	115		/message/publish	1609142019662	1609142019689	OK	 
USER	publish	115	END	1609142019661	1609142019691
USER	publish	116	START	1609142019700	1609142019700
REQUEST	116		/message/publish	1609142019701	1609142019711	OK	 
USER	publish	116	END	1609142019700	1609142019712
USER	publish	117	START	1609142019731	1609142019731
REQUEST	117		/message/publish	1609142019731	1609142019752	OK	 
USER	publish	117	END	1609142019731	1609142019753
USER	publish	118	START	1609142019770	1609142019770
REQUEST	118		/message/publish	1609142019771	1609142019780	OK	 
USER	publish	118	END	1609142019770	1609142019780
USER	publish	119	START	1609142019800	1609142019800
REQUEST	119		/message/publish	1609142019801	1609142019813	OK	 
USER	publish	119	END	1609142019800	1609142019813
USER	publish	120	START	1609142019841	1609142019841
REQUEST	120		/message/publish	1609142019842	1609142019848	OK	 
USER	publish	120	END	1609142019841	1609142019849
USER	publish	121	START	1609142019870	1609142019870
REQUEST	121		/message/publish	1609142019871	1609142019881	OK	 
USER	publish	121	END	1609142019870	1609142019881
USER	publish	122	START	1609142019900	1609142019900
REQUEST	122		/message/publish	1609142019901	1609142019907	OK	 
USER	publish	122	END	1609142019900	1609142019908
USER	publish	123	START	1609142019941	1609142019941
REQUEST	123		/message/publish	1609142019942	1609142019953	OK	 
USER	publish	123	END	1609142019941	1609142019953
USER	publish	124	START	1609142019971	1609142019971
REQUEST	124		/message/publish	1609142019971	1609142019979	OK	 
USER	publish	124	END	1609142019971	1609142019980
USER	publish	125	START	1609142020011	1609142020011
REQUEST	125		/message/publish	1609142020012	1609142020024	OK	 
USER	publish	125	END	1609142020011	1609142020025
USER	publish	126	START	1609142020041	1609142020041
REQUEST	126		/message/publish	1609142020041	1609142020050	OK	 
USER	publish	126	END	1609142020041	1609142020050
USER	publish	127	START	1609142020080	1609142020080
REQUEST	127		/message/publish	1609142020081	1609142020089	OK	 
USER	publish	127	END	1609142020080	1609142020090
USER	publish	128	START	1609142020110	1609142020110
REQUEST	128		/message/publish	1609142020111	1609142020123	OK	 
USER	publish	128	END	1609142020110	1609142020124
USER	publish	129	START	1609142020150	1609142020150
REQUEST	129		/message/publish	1609142020151	1609142020158	OK	 
USER	publish	129	END	1609142020150	1609142020159
USER	publish	130	START	1609142020181	1609142020181
REQUEST	130		/message/publish	1609142020181	1609142020200	OK	 
USER	publish	130	END	1609142020181	1609142020201
USER	publish	131	START	1609142020221	1609142020221
REQUEST	131		/message/publish	1609142020221	1609142020228	OK	 
USER	publish	131	END	1609142020221	1609142020228
USER	publish	132	START	1609142020250	1609142020250
REQUEST	132		/message/publish	1609142020251	1609142020260	OK	 
USER	publish	132	END	1609142020250	1609142020260
USER	publish	133	START	1609142020281	1609142020281
REQUEST	133		/message/publish	1609142020282	1609142020290	OK	 
USER	publish	133	END	1609142020281	1609142020291
USER	publish	134	START	1609142020321	1609142020321
REQUEST	134		/message/publish	1609142020321	1609142020330	OK	 
USER	publish	134	END	1609142020321	1609142020330
USER	publish	135	START	1609142020350	1609142020350
REQUEST	135		/message/publish	1609142020351	1609142020361	OK	 
USER	publish	135	END	1609142020350	1609142020361
USER	publish	136	START	1609142020391	1609142020391
