ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAEDAAECAQAAAAAAAECPQA==
ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	jp.rafaelzig.rafka.pubsub.Subscriber	subscriber	1609142004200	 	3.2.1
USER	subscribe	1	START	1609142011644	1609142011644
REQUEST	1		/topic/subscribe	1609142011683	1609142011765	OK	 
REQUEST	1		/topic/subscribe	1609142011814	1609142011831	OK	 
REQUEST	1		/topic/subscribe	1609142011833	1609142011846	OK	 
REQUEST	1		/topic/subscribe	1609142011847	1609142011856	OK	 
REQUEST	1		/topic/subscribe	1609142011858	1609142011872	OK	 
REQUEST	1		/topic/subscribe	1609142011873	1609142011886	OK	 
USER	subscribe	1	END	1609142011644	1609142011895
USER	getAndAck	2	START	1609142016633	1609142016633
REQUEST	2		/message/get	1609142016639	1609142016666	OK	 
USER	getAndAck	2	END	1609142016633	1609142016667
USER	getAndAck	3	START	1609142017144	1609142017144
REQUEST	3		/message/ack	1609142017146	1609142017157	OK	 
USER	getAndAck	3	END	1609142017144	1609142017158
USER	getAndAck	4	START	1609142017644	1609142017644
REQUEST	4		/message/get	1609142017649	1609142017662	OK	 
USER	getAndAck	4	END	1609142017644	1609142017663
USER	getAndAck	5	START	1609142017813	1609142017813
REQUEST	5		/message/ack	1609142017815	1609142017829	OK	 
USER	getAndAck	5	END	1609142017813	1609142017830
USER	getAndAck	6	START	1609142017973	1609142017973
REQUEST	6		/message/get	1609142017974	1609142017983	OK	 
USER	getAndAck	6	END	1609142017973	1609142017983
USER	getAndAck	7	START	1609142018144	1609142018144
REQUEST	7		/message/ack	1609142018146	1609142018158	OK	 
USER	getAndAck	7	END	1609142018144	1609142018159
USER	getAndAck	8	START	1609142018314	1609142018314
REQUEST	8		/message/get	1609142018315	1609142018330	OK	 
USER	getAndAck	8	END	1609142018314	1609142018331
USER	getAndAck	9	START	1609142018474	1609142018474
REQUEST	9		/message/ack	1609142018480	1609142018491	OK	 
USER	getAndAck	9	END	1609142018474	1609142018492
USER	getAndAck	10	START	1609142018644	1609142018644
REQUEST	10		/message/get	1609142018645	1609142018654	OK	 
USER	getAndAck	10	END	1609142018644	1609142018655
USER	getAndAck	11	START	1609142018754	1609142018754
REQUEST	11		/message/ack	1609142018756	1609142018773	OK	 
USER	getAndAck	11	END	1609142018754	1609142018775
USER	getAndAck	12	START	1609142018864	1609142018864
REQUEST	12		/message/get	1609142018865	1609142018869	OK	 
USER	getAndAck	12	END	1609142018864	1609142018870
USER	getAndAck	13	START	1609142018984	1609142018984
REQUEST	13		/message/ack	1609142018985	1609142018992	OK	 
USER	getAndAck	13	END	1609142018984	1609142018994
USER	getAndAck	14	START	1609142019094	1609142019094
REQUEST	14		/message/get	1609142019095	1609142019104	OK	 
USER	getAndAck	14	END	1609142019094	1609142019105
USER	getAndAck	15	START	1609142019204	1609142019204
REQUEST	15		/message/ack	1609142019205	1609142019221	OK	 
USER	getAndAck	15	END	1609142019204	1609142019222
USER	getAndAck	16	START	1609142019313	1609142019313
REQUEST	16		/message/get	1609142019315	1609142019333	OK	 
USER	getAndAck	16	END	1609142019313	1609142019334
USER	getAndAck	17	START	1609142019424	1609142019424
REQUEST	17		/message/ack	1609142019425	1609142019433	OK	 
USER	getAndAck	17	END	1609142019424	1609142019435
USER	getAndAck	18	START	1609142019534	1609142019534
REQUEST	18		/message/get	1609142019534	1609142019553	OK	 
USER	getAndAck	18	END	1609142019534	1609142019554
USER	getAndAck	19	START	1609142019644	1609142019644
REQUEST	19		/message/ack	1609142019645	1609142019653	OK	 
USER	getAndAck	19	END	1609142019644	1609142019654
USER	getAndAck	20	START	1609142019723	1609142019723
REQUEST	20		/message/get	1609142019726	1609142019744	OK	 
USER	getAndAck	20	END	1609142019723	1609142019745
USER	getAndAck	21	START	1609142019803	1609142019803
REQUEST	21		/message/ack	1609142019807	1609142019820	OK	 
USER	getAndAck	21	END	1609142019803	1609142019821
USER	getAndAck	22	START	1609142019873	1609142019873
REQUEST	22		/message/get	1609142019875	1609142019887	OK	 
USER	getAndAck	22	END	1609142019873	1609142019888
USER	getAndAck	23	START	1609142019955	1609142019955
REQUEST	23		/message/ack	1609142019956	1609142019969	OK	 
USER	getAndAck	23	END	1609142019955	1609142019970
USER	getAndAck	24	START	1609142020034	1609142020034
REQUEST	24		/message/get	1609142020035	1609142020040	OK	 
USER	getAndAck	24	END	1609142020034	1609142020041
USER	getAndAck	25	START	1609142020103	1609142020103
REQUEST	25		/message/ack	1609142020104	1609142020110	OK	 
USER	getAndAck	25	END	1609142020103	1609142020113
USER	getAndAck	26	START	1609142020184	1609142020184
REQUEST	26		/message/get	1609142020185	1609142020196	OK	 
USER	getAndAck	26	END	1609142020184	1609142020196
USER	getAndAck	27	START	1609142020263	1609142020263
REQUEST	27		/message/ack	1609142020265	1609142020271	OK	 
USER	getAndAck	27	END	1609142020263	1609142020272
USER	getAndAck	28	START	1609142020344	1609142020344
REQUEST	28		/message/get	1609142020345	1609142020369	OK	 
USER	getAndAck	28	END	1609142020344	1609142020370
USER	getAndAck	29	START	1609142020414	1609142020414
REQUEST	29		/message/ack	1609142020415	1609142020431	OK	 
USER	getAndAck	29	END	1609142020414	1609142020432
USER	getAndAck	30	START	1609142020493	1609142020493
REQUEST	30		/message/get	1609142020494	1609142020509	OK	 
USER	getAndAck	30	END	1609142020493	1609142020509
USER	getAndAck	31	START	1609142020574	1609142020574
REQUEST	31		/message/ack	1609142020575	1609142020585	OK	 
USER	getAndAck	31	END	1609142020574	1609142020585
USER	getAndAck	32	START	1609142020643	1609142020643
REQUEST	32		/message/get	1609142020644	1609142020650	OK	 
USER	getAndAck	32	END	1609142020643	1609142020651
USER	getAndAck	33	START	1609142020714	1609142020714
REQUEST	33		/message/ack	1609142020715	1609142020728	OK	 
USER	getAndAck	33	END	1609142020714	1609142020728
USER	getAndAck	34	START	1609142020774	1609142020774
REQUEST	34		/message/get	1609142020775	1609142020781	OK	 
USER	getAndAck	34	END	1609142020774	1609142020781
USER	getAndAck	35	START	1609142020834	1609142020834
REQUEST	35		/message/ack	1609142020835	1609142020849	OK	 
USER	getAndAck	35	END	1609142020834	1609142020849
USER	getAndAck	36	START	1609142020894	1609142020894
REQUEST	36		/message/get	1609142020895	1609142020908	OK	 
USER	getAndAck	36	END	1609142020894	1609142020908
USER	getAndAck	37	START	1609142020964	1609142020964
REQUEST	37		/message/ack	1609142020964	1609142020973	OK	 
USER	getAndAck	37	END	1609142020964	1609142020974
USER	getAndAck	38	START	1609142021024	1609142021024
REQUEST	38		/message/get	1609142021025	1609142021032	OK	 
USER	getAndAck	38	END	1609142021024	1609142021033
USER	getAndAck	39	START	1609142021084	1609142021084
REQUEST	39		/message/ack	1609142021085	1609142021092	OK	 
